cnpj,razao_social,natureza_juridica,qualificacao_do_responsavel,capital_social,porte,ente_federativo_responsavel
33683111,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),2011,16,"1061004829,23",05,
19131243,OPEN KNOWLEDGE BRASIL,3999,16,"0,00",05,
